1144421;http://kinozal.tv/details.php?id=1144421;Возлюбленные Дьявола;2013;Япония;169;1;6;13; HDTVRip (720p); 2.72 ГБ; Русский (AAC, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 2000 Кбит/с, 1280x720;7.1;-;Синобу Тагасира;Сёдзё
1154482;http://kinozal.tv/details.php?id=1154482;Возлюбленные дьявола;2013;Япония;5;1;1;5; HDTVRip (720p); 1.02 ГБ; Русский, японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 1665 Кбит/сек, 1280x720;0;0;Синобу Тагасира;Сёдзё
1154293;http://kinozal.tv/details.php?id=1154293;Удар крови;2013;Япония;44;1;11;1; HDTVRip (1080p); 528 МБ; MP3, 2 ch, 320 Кбит/с; MPEG-4 AVC, 2731 Кбит/с, 1920x1080;0;0;Хидэе Ямамото;Приключения, фэнтези
1131048;http://kinozal.tv/details.php?id=1131048;Лог Горизонт;2013;Япония;277;11;19;11; HDTVRip (720p); 3.68 ГБ; Русский (MP3, 2 ch, 128 Кбит/с), японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 1500 Кбит/с, 1280x720;-;0;Синдзи Исихира;Комедия, фэнтези
1151900;http://kinozal.tv/details.php?id=1151900;Ван Пис;2013;Япония;117;2;1;2; HDTVRip (720p); 1.02 ГБ; MP3, 2 ch, 256 Кбит/с; MPEG-4 AVC, ~ 3094 Кбит/с, 1280x720;0;0;Коносукэ Уда;Приключения, комедия, фэнтези, сёнэн
1134414;http://kinozal.tv/details.php?id=1134414;Глухомань (Деревенская глубинка);2013;Япония;29;1;4;6; HDTVRip (720p); 1.6 ГБ; AAC, 2 ch, 247 Кбит/с; MPEG-4 AVC, ~ 1715 Кбит/с, 1280x720;__;0;Синъя Кавамо;Комедия, повседневность
1134200;http://kinozal.tv/details.php?id=1134200;Вальврэйв Освободитель;2013;Япония;48;5;2;5; HDTVRip (720p); 2.34 ГБ; AAC, 2 ch, 192 Кбит/с; MPEG-4 AVC, 2100 Кбит/с, 1280x720;6.9;7.419;Ко Мацуо;Приключения, фантастика, меха
1154236;http://kinozal.tv/details.php?id=1154236;Удар крови;2013;Япония;38;1;1;1; HDTVRip (1080p); 542 МБ; AAC, 2 ch, 192 Кбит/с; MPEG-4 AVC, 2846 Кбит/с, 1920x1080;0;0;Хидэе Ямамото;Приключения, фэнтези
1154189;http://kinozal.tv/details.php?id=1154189;Меж двух огней: Девушки и подруги детства;2013;Япония;66;13;0;65; BDRip (720p); 9.53 ГБ; Русский (AС3, 2 ch, ~ 448 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 2055 Кбит/с, 1280x720;0;0;Канта Камэй;Комедия, романтика
1154188;http://kinozal.tv/details.php?id=1154188;Рядом с Чудовище-куном;2012;Япония;31;13;0;114; BDRip (720p); 9.76 ГБ; Русский (AС3, 2 ch, ~ 448 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 2500 Кбит/с, 1280x720;0;0;Хиро Кабураки;Комедия, романтика, школа, сёдзё
778077;http://kinozal.tv/details.php?id=778077;Блассрейтер;2008;Япония;644;24;4;24; HDTVRip (720p); 8.71 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 255 Кбит/с); MPEG-4 AVC, ~ 2200 Кбит/с, 1280x720;6.80;6.756;Итиро Итано;Приключения, фантастика, драма
1154187;http://kinozal.tv/details.php?id=1154187;Девушка из красной книги;2013;Япония;42;12;0;76; BDRip (720p); 7.59 ГБ; Русский (AС3, 2 ch, ~ 448 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 3500 Кбит/с, 1280x720;0;0;Тосия Синохара;Приключения, мистика
1154111;http://kinozal.tv/details.php?id=1154111;Интерстелла 5555: История секретной звездной системы;2003;Япония;8;1;0;1; BDRip (1080p); 4.37 ГБ; AC3, 6 ch, 640 Кбит/с; MPEG4 AVC, ~ 8918 Кбит/с, 1416x1080;0;0;Кадзухиса Такэноти;Музыкальный, фантастика, приключения
1130578;http://kinozal.tv/details.php?id=1130578;Убить или быть убитым (Убей или умри);2013;Япония;131;11;31;22; HDTVRip; 2.65 ГБ; Русский, японский (MP3, 2 ch, 192 Кбит/с); XviD, ~ 1000 Кбит/с, 704x396;0;-;Хироюки Имайси;Приключения, комедия, этти
1130988;http://kinozal.tv/details.php?id=1130988;Убить или быть убитым (Убей или умри);2013;Япония;108;1;16;22; HDTVRip (720p); 5.49 ГБ; Русский, японский (ААС, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 2200 Кбит/с, 1280x720;0;-;Хироюки Имайси;Приключения, комедия, этти
1131790;http://kinozal.tv/details.php?id=1131790;Мисс Монохром;2013;Япония;130;11;4;11; HDTVRip (720p); 726 МБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, 1759 Кбит/с, 1280x720;0;0;Есиаки Ивасаки;Приключения
807706;http://kinozal.tv/details.php?id=807706;Фантастические дни;2003;Masquerade Films;324;1;1;1; DVDRip (AVC); 1.74 ГБ; Русский (АС3, 6 ch, 384 Кбит/с), корейский (АС3, 6 ch, 448 Кбит/с); MPEG-4 AVC, 14130 Кбит/с, 720x480@853x480;6.7;7.416;Мун-саэнг Ким;Фантастика, фэнтези, боевик
1131809;http://kinozal.tv/details.php?id=1131809;Героем я не стал, так что мне пришлось искать работу;2013;Япония;141;1;4;10; HDTVRip (720p); 3.57 ГБ; Русский (AAC, 2 ch, 189 Кбит/с), японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, ~ 2000 Кбит/с, 1280x720;0;0;Киндзи Есимото;Комедия, этти
1059786;http://kinozal.tv/details.php?id=1059786;Наруто Ураганные хроники;2013;Япония;1107;43;21;43; HDTVRip (720p); 15 ГБ; MP3, 2 ch, 256 Кбит/с; MPEG-4 AVC, ~ 1800 Кбит/с, 1280x720;0;0;Хаято Датэ;Приключения, сёнэн
1130884;http://kinozal.tv/details.php?id=1130884;За пределами (За гранью);2013;Япония;68;1;2;22; HDTVRip (720p); 3.56 ГБ; Русский, японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 2000 Кбит/с, 1280x720;0;0;Тайти Исидатэ;Приключения, мистика
1130089;http://kinozal.tv/details.php?id=1130089;За пределами (За гранью);2013;Япония;165;11;14;22; HDTVRip; 2.58 ГБ; Русский, японский (MP3, 2 ch, 192 Кбит/с); XviD, ~ 1000 Кбит/с, 704x396;0;0;Тайти Исидатэ;Приключения, мистика
1136318;http://kinozal.tv/details.php?id=1136318;Трудность выбора (Проклятие мультивыбора превратило мою жизнь в ад);2013;Япония;138;1;9;10; HDTVRip (720p); 3.3 ГБ; AAC, 2 ch, ~ 192 Кбит/с; MPEG-4 AVC, ~ 1800 Кбит/с, 1280x720;0;0;Такаюки Инагаки;Комедия, этти, пародия, школа
1153607;http://kinozal.tv/details.php?id=1153607;Бтум! (Взрыв!);2012;Япония;78;12;3;124; BDRip (720p); 11.22 ГБ; Русский (AС3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 3500 Кбит/с, 1280x720;7.1;7.512;Котоно Ватанабэ;Приключения, фантастика, романтика
897269;http://kinozal.tv/details.php?id=897269;Мы - бескрылые;2011;Япония;274;12;2;160; BDRip (720p); 7.84 ГБ; Русский (AС3, 2 ch, ~ 448 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 2505 Кбит/с, 1280x720;0;0;Синдзи Усиро;Комедия, романтика, этти
1153599;http://kinozal.tv/details.php?id=1153599;Гуррен-Лаганн;2007;Япония;16;27;0;116; BDRip (720p); 26.91 ГБ; Русский (AС3, 2 ch, ~ 448 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 4500 Кбит/с, 1280x720;8.1;8.44;Хироюки Имайси;Приключения, фантастика, меха, драма
919224;http://kinozal.tv/details.php?id=919224;Пингвиний Барабан;2011;Япония;296;24;2;178; BDRip (720p); 15.6 ГБ; Русский (AC3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, ~ 256 Кбит/с); MPEG-4 AVC, ~ 2300 Кбит/с, 1280x720;0;0;Кунихико Икухара;Приключения, комедия, повседневность, драма
742207;http://kinozal.tv/details.php?id=742207;11 глаз;2009;Япония;481;13;5;67; BDRip (720p); 9.79 ГБ; Русский (AC3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, ~ 256 Кбит/с); MPEG-4 AVC, ~ 3000 Кбит/с, 1280x720;0;0;Масами Симода;Приключения, мистика, этти, драма
719138;http://kinozal.tv/details.php?id=719138;Хроники Валькирии;2009;Япония;575;26;10;177; BDRip (720p); 17.11 ГБ; Русский (AC3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, ~ 256 Кбит/с); MPEG-4 AVC, ~ 2800 Кбит/с, 1280x720;0;0;Ясутака Ямамото;Приключения, романтика, комедия, драма
1153585;http://kinozal.tv/details.php?id=1153585;Трудности первой любви (Компания «Первая любовь», ООО Первая любовь);2009;Япония;29;1;1;83; BDRip (720p); 7.76 ГБ; Русский (AC3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, ~ 256 Кбит/с); MPEG-4 AVC, ~ 2500 Кбит/с, 1280x720;0;0;Есики Ямакава;Комедия, романтика, школа
1153583;http://kinozal.tv/details.php?id=1153583;Принц-пошляк и кошка-несмеяна;2013;Япония;12;12;0;64; BDRip (720p); 6.76 ГБ; Русский (AC3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, ~ 256 Кбит/с); MPEG-4 AVC, ~ 2400 Кбит/с, 1280x720;0;0;Ехэй Судзуки;Комедия
1153581;http://kinozal.tv/details.php?id=1153581;Психопаспорт;2012;Япония;5;22;1;281; BDRip (720p); 19.43 ГБ; Русский (AС3, 2 ch, ~ 192 Кбит/с), японский (Vorbis, 2 ch, 256 Кбит/с); MPEG-4 AVC, ~ 3400 Кбит/с, 1280x720;7.5;8.379;Наоеси Сиотани;Триллер, фантастика
